city,lat,long
Anyang,36.0998254,114.38691
Baoding,38.87300042,115.458683
Baotou,40.62008088,109.9475924
Beijing,39.90319598,116.4007581
Cangzhou,38.3038408,116.8332108
Changchun,43.81374884,125.3174921
Changde,29.03462465,111.6933891
Changsha,28.23220688,112.9335498
Changzhou,31.81173826,119.9702476
Chengdu,30.57539288,104.0637796
Chongqing,29.56555014,106.5482831
Chuzhou,32.25697233,118.3275744
Dalian,38.91252363,121.6100563
Dezhou,37.43463045,116.353097
Dongguan,23.02372299,113.7468068
Dongying,37.43262217,118.6693319
Eerduosi,39.90819978,116.3694065
Foshan,23.02445327,113.1165177
Fuyang,30.05147734,119.9554294
Fuzhou,26.07730065,119.2921996
Ganzhou,25.83228192,114.9292745
Guangzhou,23.13177722,113.2596698
Guilin,25.23830971,110.1750909
Guiyang,26.65126899,106.626432
Handan,36.62552096,114.5332725
Harbin,45.80121771,126.5289594
Hefei,31.82229951,117.2215173
Hengyang,26.89688497,112.5667649
Heze,35.23399757,115.4751536
Huaian,33.55222755,119.1075758
Huhehaote,40.84095307,111.742082
Huizhou,23.11319898,114.4120329
Huzhou,30.89504376,120.0831294
Jiangmen,22.58149173,113.0765501
Jiaxing,30.74740168,120.7526809
Jinan,36.64977073,117.1138725
Jinhua,29.0812771,119.6422959
Jining,35.41494756,116.5817094
Jiujiang,29.66341175,115.949163
Kunming,24.88304981,102.831582
Langfang,39.53649962,116.678083
Lanzhou,36.0616269,103.8315961
Lhasa,29.65624482,91.17048328
Lianyungang,34.59763505,119.2164688
Linyi,35.10519176,118.3512445
Liuzhou,24.32840102,109.4233998
Luoyang,34.61902445,112.4467477
Maoming,21.66607683,110.9204884
Mianyang,31.47007711,104.6763834
Nanchang,28.68712955,115.8530993
Nanjing,32.06037418,118.7908148
Nanning,22.81898547,108.3629277
Nantong,31.98307057,120.890784
Nanyang,32.9925987,112.5221561
Ningbo,29.86304669,121.6201705
Putian,25.4566808,119.0032648
Qingdao,36.0658228,120.3778672
Quanzhou,24.87650814,118.6714527
Shanghai,31.23194382,121.4694778
Shaoxing,30.0540578,120.5794934
Shenyang,41.68383007,123.4710966
Shenzhen,22.54551715,114.0528861
Shijiazhuang,38.04175897,114.5088983
Suzhou,31.29948669,120.5818229
Taian,36.19965018,117.0819319
Taiyuan,37.87017817,112.5437033
Taizhou,28.6589518,121.4165717
Tangshan,39.62909255,118.1737212
Tianjin,39.08425297,117.1952642
Weifang,36.7058569,119.1561181
Weihai,37.50956782,122.1159441
Wenzhou,27.99818159,120.6959406
Wuhan,30.59520986,114.2995562
Wuhu,31.35405257,118.4276187
Wulumuqi,43.82339247,87.61514917
Wuxi,31.49498761,120.3073911
Xiamen,24.48174576,118.0850228
Xian,34.34265594,108.9353437
Xiangtan,27.83304839,112.9385699
Xiangyang,47.34006548,130.2861559
Xining,36.61728064,101.7760673
Xinxiang,35.30448549,113.9210943
Xuchang,34.03695805,113.8461268
Xuzhou,34.20819076,117.2782466
Yancheng,33.3507337,120.156049
Yangzhou,32.39627867,119.4075198
Yantai,37.46272868,121.4427936
Yichang,30.69414018,111.2803414
Yinchuan,38.48604126,106.2276018
Yueyang,29.35975567,113.1230358
Zhangzhou,24.51617974,117.6422137
Zhanjiang,21.27328178,110.3545045
Zhengzhou,34.74838345,113.6189535
Zhenjiang,32.19047696,119.4185526
Zhongshan,22.51868986,113.3875178
Zhoukou,33.63842966,114.696038
Zhuhai,22.27391501,113.5709597
Zhuzhou,27.83064149,113.1281711
Zibo,36.81247672,118.0489191
Zunyi,27.72530279,107.0273021
